,birds,ft_stds,ft_means,zrate_stds,zrate_means,roloff_stds,roloff_means,cent_stds,cent_means,mfcc_stds,mfcc_means,index
0,acafly,2.7871086271780334,1.2221728207870783,0.08312092523917543,0.34444754464285715,142.88478949943286,5231.0302734375,166.0516862434026,4543.878930568727,43.26666279346785,-13.057108768280681,2
1,acafly,3.6881886352171085,1.5690588000812395,0.08275502192819922,0.34793526785714285,148.82124036349197,5186.42578125,201.08636991688348,4558.261611100026,41.051255699683026,-13.736013112377046,2
2,acafly,5.3997388267044935,1.8913569800180285,0.07904058756717594,0.3302408854166667,127.3542276998322,4914.95361328125,188.2997898838451,4394.092131394593,42.77417605423455,-12.61922849990471,2
3,acafly,4.386543296900335,1.846242081598211,0.08126451970409451,0.345703125,180.52700142981178,5178.7353515625,175.09580239603594,4531.251360671209,41.02820092058316,-13.47933397268021,2
4,acafly,3.782238741514475,1.7007514992882002,0.08714589264427122,0.340576171875,187.4560531135685,5220.00732421875,177.0670635028625,4599.893748787148,38.42597477800336,-13.17299828877397,2
5,acafly,3.8692374829646297,1.572207038375458,0.08594565133462034,0.3379448784722222,190.837166704659,5224.1943359375,228.78556297610965,4420.5395394933585,41.205586695393464,-13.098500705671862,2
6,acafly,2.3356992871477376,1.2922776840439678,0.10634733740450622,0.3758138020833333,374.2803075010471,5988.02490234375,278.3333993927916,4969.404661735253,37.00489442528183,-7.796733017811448,4
7,acafly,1.4703687253530242,0.5304267633448276,0.06476413481209321,0.25009765625,758.6413641619946,4857.890625,55.1871010569054,4016.748324338804,57.58641832618844,-10.807681963558231,5
8,acafly,1.4600647121401655,0.5703145982059404,0.07101133830915335,0.26982421875,636.7932866753212,4674.8583984375,68.01371277995487,4012.3669919761705,57.40221974464951,-10.175966880885435,5
9,acafly,1.809361834185871,0.8304925976645234,0.08272921614852369,0.3154296875,243.91098941594637,4981.34765625,294.17443159344975,4368.7285546585035,53.7370717065938,-10.639623637601112,5
10,acafly,1.4468437565264538,0.6276206107643855,0.08316404313285877,0.3011067708333333,172.01309768368338,4818.05419921875,197.50970005780488,4266.876756941298,57.004516313513506,-10.717533041279234,5
11,acafly,1.3384762255444442,0.5852625086262235,0.0848350322780599,0.294921875,187.4818173175312,4794.7265625,226.29879547031618,4202.586100332971,57.74374338049208,-10.371805981873434,5
12,acafly,1.805584124597924,0.8343861628053879,0.08661133124477341,0.30615234375,234.02743986066375,4965.19775390625,267.0925676190574,4364.020117977957,55.4201765037493,-8.695241322718722,5
13,acafly,1.6444853676305822,0.7240740495934479,0.0815204277025233,0.294189453125,195.65087266157565,4690.6494140625,248.55185540301528,4204.645728625698,56.83917460098098,-10.536493657135507,5
14,acafly,1.888107360970312,0.9150252774867002,0.08925698741602911,0.3312174479166667,288.5246110286823,5169.76318359375,306.9819704002423,4481.348699464325,54.51817084850633,-9.211962368335238,5
15,acafly,1.4464152832515436,0.7300849675705727,0.10170784555439882,0.32749720982142855,333.69021662499205,5264.8681640625,352.4496662832965,4390.319383571106,56.249284752781136,-8.502956011351385,5
16,acafly,0.9490797056122404,0.41460845399256313,0.08138639299415848,0.30859375,233.38676774606435,4611.6943359375,198.87906357583606,4047.3326735864507,60.11933957418598,-10.834982939091159,5
17,acafly,1.9041633999464607,0.775271476200593,0.08016623841486567,0.3191731770833333,138.82237447701132,4796.52099609375,201.41285480898281,4294.050328098102,55.90940037739505,-10.89808573071352,5
18,acafly,1.0220822348271519,0.5640344497422419,0.0880521519187324,0.3359375,176.17792522588863,5740.751953125,204.81181006773238,4894.146609976236,57.58860437746614,-10.866353808931592,5
19,acafly,2.5800138253617115,1.0736614234969761,0.08219751944187587,0.30831473214285715,197.55874158596328,4660.400390625,270.6276111616004,4157.763373960131,53.40664696675313,-9.932468380113505,5
20,acafly,1.7109242312583037,0.7570715825607529,0.08004656741039139,0.3086751302083333,187.2842011768997,4764.22119140625,238.54004322067675,4271.622395621001,55.128581291560195,-9.517550969540387,5
21,acafly,2.590867806444666,1.2223684406514095,0.08791838784363541,0.3304850260416667,347.08724809757604,5033.38623046875,337.2187323411489,4401.404682260468,51.70710623320453,-8.6183216475569,5
22,acafly,1.9041420408116336,0.8878546102143244,0.0829450781626878,0.314453125,287.71995469975644,4900.59814453125,299.9547636408264,4280.377223150351,53.292921347496716,-9.318136789615567,5
23,acafly,2.7305896422629106,1.4179031700965092,0.09394720317500418,0.347900390625,372.60323633225886,5415.6005859375,361.3734293853963,4621.093701325591,51.06408582873418,-8.557646127547427,5
24,acafly,1.8014304032338462,0.767913090286076,0.06656589839659421,0.29853515625,208.70551006407706,5030.15625,344.90896939652475,4397.054043176022,52.79897110086899,-8.936404772395683,5
25,acafly,1.46340549853429,0.7126911344064569,0.08933308268269918,0.3268229166666667,311.41049553005513,5076.45263671875,284.69876964972207,4511.127739565428,53.410268479844774,-9.358965268160164,5
26,acafly,1.881094478854008,0.8941533599796273,0.09353030666691131,0.31201171875,372.229508111984,4897.265625,305.7299351110612,4193.99796404817,52.40065433778272,-9.661002888896164,5
27,acafly,1.760047842762855,0.8177900157076806,0.09416486420144146,0.30157470703125,388.2863125840426,4972.8240966796875,336.9590513018125,4117.744667149614,53.45294505734183,-9.794136300413602,5
28,acafly,2.2109762918448386,1.2052867643627538,0.10966324706707496,0.32156808035714285,507.0600704236941,5297.16796875,695.4309244608612,4314.238712172073,47.362415308588204,-6.404148622375463,5
29,acafly,5.652866611667049,2.6425981927359956,0.07375019138117382,0.2939453125,341.1229117033581,5271.328125,223.3587586538642,4538.132210819566,29.51901648302296,-4.140128309425709,6
30,acafly,1.6840987234681142,0.9293973881584839,0.10304071854832475,0.394921875,321.9483921116921,6074.5166015625,326.4080354428582,5088.8415530906595,58.23502354160064,-15.225514313572267,8
31,acafly,1.5515666348469606,0.7159117737733273,0.09305979654191102,0.38720703125,133.19291383864692,6022.8369140625,178.3021841952456,5181.309351775575,58.71265877113852,-14.712470256634626,8
32,acafly,1.749714784015459,0.8928571702752006,0.10648188997887531,0.35693359375,336.4551025369358,5839.0869140625,307.94632658280625,4842.5151528758215,57.42575452545233,-15.840529777331385,8
33,acafly,2.4741382750068888,0.9277080150936974,0.09537391559989276,0.38681640625,163.1983835308578,6597.7734375,251.99334529245806,5595.315014510596,54.955356648893265,-14.946890327003311,8
34,acafly,1.8657383131507617,0.8390900657011265,0.10433567958748971,0.367919921875,94.2034911140519,5979.052734375,231.03880969799525,5076.168640055934,57.21303242068664,-14.418124860511426,8
35,acafly,1.1085391257148838,0.6312299370097203,0.0920766390155102,0.358984375,165.67977287494264,6266.162109375,155.97771873663967,5120.76139011817,55.778172242171124,-14.813630474516804,8
36,acafly,1.8049475007219022,0.9003755769324464,0.10544827737419629,0.4000651041666667,248.20980127881455,6059.80224609375,308.07550222121966,5046.543314362786,56.295233876053565,-15.656821373102321,8
37,acafly,3.2630642428722014,1.5466140475634889,0.0960517605478718,0.38037109375,189.32082317162053,5986.23046875,290.597276885321,5096.372201664674,53.74526438345695,-13.926716508824741,8
38,acafly,2.900318981818688,1.4133947351433744,0.10491521813420589,0.4124348958333333,217.4228631318228,6102.86865234375,317.7135960762851,5221.48560713873,56.046717180908914,-15.537021499094868,8
39,acafly,2.2162350164241773,1.39905412903572,0.10263667229125971,0.37939453125,133.33209142503924,6440.5810546875,362.3543218906698,5192.47281273459,49.827976613620145,-14.237960080943312,8
40,acafly,4.488388395677697,2.021839110280993,0.10028960888765205,0.37646484375,209.94873046875,5840.88134765625,300.5558504169658,5027.436127540274,52.27860429109463,-13.454593315822228,8
41,acafly,2.780361251458039,1.2616466467176557,0.09561062795529399,0.34912109375,287.1741666801492,5565.13671875,335.5044329462304,4523.6735972296265,52.24228514298871,-14.049380078398963,8
42,acafly,3.847384903903849,1.7012437989854414,0.10063035225109726,0.35223388671875,331.13864154866945,5488.275146484375,334.94526819499566,4644.9397913221555,52.5510514582172,-13.812774705213844,8
43,acafly,3.870982674784214,1.5775395315893321,0.09215483975940297,0.3453369140625,305.5704923010939,5307.9345703125,340.1737667325198,4507.881957867992,52.669996906920154,-14.105246744143013,8
44,acafly,3.6698625512740954,1.679878371051764,0.08495068560962812,0.3491908482142857,255.52602703312436,5349.462890625,286.6037719030985,4497.285033450428,52.111730399665255,-13.892463293364026,8
45,acafly,4.2695322690019015,1.83861240850296,0.0901460950609755,0.35986328125,246.5616403590109,5450.592041015625,353.82142638856743,4622.923853224356,51.50797627606416,-13.585889942704489,8
46,acafly,5.355975842977268,2.286839552688415,0.07438688808286271,0.296875,191.92354414500628,4853.583984375,246.3624614114527,4234.830333673486,48.88108246439726,-10.525569232540104,11
47,acafly,5.063343950147609,2.145336923834733,0.07231074393867652,0.28994140625,193.6791622734388,4855.7373046875,243.69944859301296,4227.8664513290805,50.1292887591921,-11.057422452662951,11
48,acafly,4.709348719661451,1.9314986755737258,0.07654793875491271,0.3121744791666667,175.64379467635283,4897.00927734375,234.23289806627133,4283.377053716481,48.85779065055909,-11.292779253724907,11
49,acafly,4.72704845683851,1.950612951917883,0.08294240331668552,0.2953287760416667,181.94707184775953,4893.42041015625,232.08255281175113,4273.953457275245,49.206934560475005,-10.621116247635237,11
50,acafly,0.7432856418092854,0.20882298627508253,0.09740364464971615,0.40673828125,175.97347049346507,6009.55810546875,259.1013198638419,5061.164944313829,56.48883027584229,-13.321947297854516,12
51,acafly,0.5895450217000271,0.22299290667460672,0.09267551718509631,0.42808948863636365,428.90757100680065,5818.858753551136,376.02084500696054,4848.458297773314,54.25889262466465,-13.372243150612181,12
52,acowoo,3.079940861879742,1.4468620531984215,0.04206905562402533,0.17013113839285715,179.58100189796187,5041.845703125,25.47719812430757,3177.930318658956,43.24992292966499,-5.733197495976704,20
53,acowoo,0.6312235939199982,0.04503579820139828,0.0,0.0,884.8705580980188,908.701171875,320.4715405516031,623.224966993589,89.39507365533188,-4.447041442033587,20
54,acowoo,0.7760412271362922,0.049069831009964725,0.0,0.0,760.2386402515784,707.0068359375,332.39339717122687,496.1487875206574,91.92957895143283,-4.957512087357973,20
55,acowoo,0.9130463314271205,0.05956678822655682,0.0,0.0,528.9226850607286,501.416015625,283.58488079398757,377.5600316432221,91.02692803092702,-4.35468649725127,20
56,acowoo,1.0857061927223006,0.06570874560335185,0.0,0.0,549.2275521887553,467.2705078125,294.9487495131121,434.5689075729906,92.31878005749903,-3.858618422044699,20
57,acowoo,1.3137174297818945,0.34337097197910227,0.003399511486687081,0.0033365885416666665,2516.978896943601,2269.95849609375,1189.9868336672216,1289.1973207524245,78.1407605146094,-3.091634938541672,20
58,acowoo,2.983485016818649,1.8278362981189393,0.06599475485557542,0.26446533203125,145.39272925741494,5252.7557373046875,146.89890077751804,3697.3188575843724,40.086218260228435,-12.622411161089051,22
59,acowoo,2.806927089245357,1.7342171356817564,0.06578826022232657,0.23256138392857142,264.14806853048003,5397.1435546875,235.53409171816455,3653.8651079237393,37.32555114589074,-11.488836444373701,22
60,acowoo,2.6362569454298947,1.435349362912345,0.050654914400636304,0.212646484375,244.01657859379958,5641.69921875,74.90064239257761,3624.736842697485,39.21158590627446,-11.632661508082881,22
