,birds,ft_stds,ft_means,zrate_stds,zrate_means,roloff_stds,roloff_means,cent_stds,cent_means,mfcc_stds,mfcc_means
0,acafly,0.093331784,0.0637769,0.05688053744641392,0.1698939823744255,1231.9542625176914,6455.613294715406,440.54429302085214,2689.873856734978,45.196926,-3.379072
1,acafly,0.0011559917,0.000985596,0.08336274581651508,0.33792317708333336,766.9911000094124,7430.5341796875,578.7179467142469,4238.2845386766685,59.03465,-14.608263
2,acafly,0.10501491,0.053363428,0.06379702447199824,0.12282036629786698,530.6216527501397,4216.529558647548,448.1113518924705,2163.5100649433257,44.438614,-2.2902792
3,acafly,0.00035720805,0.0002788328,0.11530001315946825,0.47391305411967416,503.35132009247917,8323.446494654605,626.7304332492938,5100.28906329117,80.571266,-22.162285
4,acafly,0.035954434,0.018666046,0.04871329883885699,0.07807071083470395,1097.6399484041226,2802.780135305304,569.9423060531043,1473.2065480954332,41.16678,-3.765548
5,acafly,2.092629e-05,2.4304996e-05,0.0836892897023824,0.4484946040783898,780.1985505494263,7355.939444849047,602.5739260791626,4804.522865536891,54.072075,-9.75565
6,acafly,0.0014447181,0.0004327683,0.0903505965267675,0.14606102243373764,1067.079475448838,4172.8464954304245,717.7959855352568,2198.588685399841,53.624405,-6.352905
7,acafly,0.13704495,0.08122537,0.046853308733184024,0.35331744235031576,760.5926468273091,8622.612130343698,329.81464980561196,4553.035215713135,52.74726,-11.491862
8,acafly,2.1056156e-05,6.191373e-06,0.05540691066432908,0.30243800682357597,1273.8577236584379,6817.50750964201,552.2860975705667,3954.5190244292485,45.461254,-4.540223
9,acafly,0.00469353,0.00096118957,0.04620890539032836,0.06643486022949219,1305.9968783890176,4125.655174255371,547.6749527114765,1866.9643465302718,73.392166,-8.586312
10,acafly,2.092629e-05,2.4304996e-05,0.0836892897023824,0.4484946040783898,780.1985505494263,7355.939444849047,602.5739260791626,4804.522865536891,54.072075,-9.75565
11,acafly,0.0012252791,0.0015775374,0.04482002233280207,0.3416791422112944,1169.4780520587537,7126.347990858979,451.7677975385083,4551.791940279337,68.21636,-13.823467
12,acafly,0.060180414,0.061157636,0.10619637398855543,0.4289309479469477,872.7336160334413,7696.938607859057,817.949612579776,4740.2487047594095,56.061268,-7.350157
13,acafly,0.009749929,0.011068454,0.018243858903593008,0.47796783447265623,630.9084882658512,7169.967842102051,194.47273250027297,5263.647077183208,66.86372,-14.363284
14,acafly,0.063850105,0.030384105,0.06622997744532325,0.2524873862428702,898.428918792831,7154.914247050554,440.3394554910669,3809.756921906431,69.89777,-12.852143
15,acowoo,0.0010790614,0.00013156382,0.05692800317442802,0.2626631039742744,1706.7685723577988,7205.228506606612,624.6671372312932,3711.3134742553257,43.244564,-8.169216
16,acowoo,0.009019325,0.008302003,0.06833654747985707,0.2209754928372211,689.0719471907769,6480.707938482505,529.8072315413227,3416.8660492127474,83.76328,-16.099615
